File Name,Initial SOC,Final SOC,Initial Altitude,Final Altitude,Average Speed,Final Accumulated Distance
Phil_DC_023_12degC,100.0000305,79.2157135,94.40087996,179.5416416,17.38392263,76158.96503
Phil_DC_026_11degC,97.25493622,73.72551727,92.92904906,176.3345475,18.28567588,80109.54605
Phil_DC_034_22degC,95.29415131,67.84316254,93.13699999,190.1367625,20.5203372,107895.933
Phil_DC_053_25degC,71.76473236,59.60786057,199.0173156,286.5679224,12.2023157,48614.02574
Phil_DC_089_14degC,100.0000305,67.45100403,92.27900005,177.0825803,18.05255884,105932.4153
Phil_DC_10_-1degC,100.0000305,66.2745285,94.77126594,175.0972889,23.13765978,92365.53785
Phil_DC_11_-3degC,99.21572113,49.803936,99.82146018,191.0214887,22.37359976,106565.4557
Phil_DC_12_-5degC,52.15687943,10.58823872,99.62727776,191.8,24.18042078,105910.243
Phil_DC_13_3degC,100.0000305,64.31374359,92.57392399,191.3298931,23.18810442,101587.0855
Phil_DC_14_-4degC,57.25492096,21.17647743,181.3633984,97.10803375,21.47785021,94094.46177
Phil_DC_15_-5degC,88.23532104,47.05883789,93.29994614,189.7294373,23.21972127,101725.5989
Phil_DC_16_-1degC,100.0000305,60.39217758,93.14558034,194.6497951,22.97903051,100671.1327
Phil_DC_17_-7degC,55.68629074,14.11765194,190.1136864,77.54315534,22.78729895,99831.15671
Phil_DC_18_-7degC,100.0000305,58.03923416,97.55356327,191.1061851,23.45379363,102751.0699
Phil_DC_19_4degC,100.0000305,60.78433228,94.28681376,193.5784473,23.66612526,103681.2948
Phil_DC_20_3degC,53.72550583,14.50980854,191.0038613,81.10384519,23.66529525,103677.6585
Phil_DC_21_6degC,99.21572113,61.96080399,92.40569858,176.5092799,23.53421458,103103.3941
Phil_DC_22_7degC,60.39217758,23.92157555,191.1759999,74.85557794,23.11689254,101275.1062
Phil_DC_24_-1degC,100.0000305,59.60786057,182.5700116,77.23643067,21.67602042,94962.64544
Phil_DC_25_11degC,63.1372757,25.88236046,110.6301345,193.5947743,27.31395554,119662.4392
Phil_DC_27_16degC,100.0000305,72.94120026,99.80116835,174.4353803,19.65129558,83124.98031
Phil_DC_28_9degC,100.0000305,67.05883355,111.6994387,194.4173116,23.85182784,100917.0836
Phil_DC_29_20degC,100.0000305,71.76473236,83.81418475,189.6541159,23.21448607,98220.49055
Phil_DC_30_12degC,99.21572113,71.37257385,98.65589867,193.7858458,22.21638526,93997.52602
Phil_DC_31_17degC,100.0000305,70.19609833,94.21399955,193.2102745,23.59599704,99834.66346
Phil_DC_32_19degC,100.0000305,78.43139648,85.31525518,176.4538337,19.7230772,83448.33964
Phil_DC_33_18degC,40.00001144,22.74510574,93.28299998,188.4437212,17.88032364,75651.64931
Phil_DC_35_29degC,88.23532104,61.96080399,92.48500016,177.4302972,19.38790245,102019.1427
Phil_DC_36_21degC,100.0000305,73.33335876,93.03462539,189.6696605,20.38105077,107245.0891
Phil_DC_37_15degC,49.0196228,18.43137932,190.7334577,92.32144873,21.0911745,109737.3809
Phil_DC_38_19degC,45.09805298,25.09804726,181.3212695,97.34583162,20.99471327,92712.6538
Phil_DC_39_20degC,90.98042297,56.86276245,93.33009398,193.0846315,26.4834911,116977.5802
Phil_DC_40_27degC,100.0000305,78.03923798,104.1931855,175.3689919,19.84762587,87666.96348
Phil_DC_41_32degC,100.0000305,78.43139648,93.29266651,175.8021767,20.4550182,90349.81539
Phil_DC_42_25degC,53.72550583,31.76471519,181.3158337,97.00152093,21.14811552,93411.22623
Phil_DC_43_26degC,100.0000305,74.50982666,91.95603381,193.9038858,23.28161509,102834.8938
Phil_DC_44_30degC,100.0000305,74.90198517,92.21899962,194.1431272,22.53741061,99547.74265
Phil_DC_45_27degC,95.29415131,69.01963043,95.35653541,190.3638268,22.47469392,98057.08956
Phil_DC_46_29degC,100.0000305,72.54904175,101.115,174.4459691,25.85195059,112817.9124
Phil_DC_47_28degC,67.84316254,40.39216995,92.05296432,193.5875507,23.58222847,102912.845
Phil_DC_48_23degC,53.33335114,25.09804726,182.2420013,99.91266775,23.13183769,100947.3397
Phil_DC_49_27degC,98.82356262,73.72551727,92.20277649,194.5003951,22.98389814,100301.7315
Phil_DC_4_26degC,42.74511337,16.47059441,181.3727062,93.03661415,21.613993,105605.9698
Phil_DC_50_29degC,100.0000305,78.43139648,96.16688737,177.4289351,19.65396076,85769.88474
Phil_DC_51_28degC,100.0000305,74.90198517,99.80388223,191.7360977,23.32181185,101776.3869
Phil_DC_52_27degC,100.0000305,73.33335876,99.80278781,189.4240025,23.39688378,102104.0008
Phil_DC_54_31degC,100.0000305,76.86277008,95.35835248,180.3316212,23.55126592,93851.79467
Phil_DC_55_28degC,99.60787201,72.94120026,95.87934343,191.799,24.22573251,96539.54407
Phil_DC_56_26degC,74.90198517,55.68629074,201.4349444,79.87687046,23.84209129,95010.73378
Phil_DC_57_23degC,100.0000305,78.43139648,94.96918156,176.0264343,22.32365182,88959.75249
Phil_DC_58_17degC,62.74511719,49.803936,85.09999998,191.0314528,17.01150561,55950.84196
Phil_DC_59_19degC,49.41178131,28.62746048,190.9567032,88.81145468,23.93704679,78752.88395
Phil_DC_5_23degC,99.60787201,72.15688324,91.56704646,192.9010501,21.09538362,103156.4259
Phil_DC_60_21degC,71.37257385,46.6666832,95.80000125,193.1528705,27.37675525,90069.52478
Phil_DC_61_10degC,43.52942657,20.00000572,181.3653263,77.37622957,25.08001744,82513.25738
Phil_DC_62_11degC,96.4706192,69.41178894,95.82224808,193.579717,27.43896704,90274.20158
Phil_DC_63_14degC,100.0000305,82.74512482,96.79647059,113.6953814,19.1401132,62970.97244
Phil_DC_64_9degC,100.0000305,77.25492859,97.58988445,171.7453933,23.5009274,77318.05113
Phil_DC_65_9degC,42.74511337,21.56863403,473.5449022,177.4134274,24.71773088,81321.3346
Phil_DC_66_5degC,89.80394745,69.01963043,92.45893997,163.128237,20.24675066,66611.80967
Phil_DC_67_7degC,94.50983429,72.54904474,95.04696614,194.3430193,22.02507011,72462.48066
Phil_DC_68_8degC,44.31373978,18.82353592,181.374075,76.57873416,25.8824457,85153.24635
Phil_DC_69_7degC,100.0000305,76.86277008,95.14297095,196.5111678,22.14934651,72871.35003
Phil_DC_70_1degC,100.0000305,75.29414368,92.91107048,192.6070264,20.9823618,69031.97031
Phil_DC_71_4degC,77.25492859,42.74511337,192.2074518,78.07153755,26.4530999,87030.69867
Phil_DC_72_6degC,100.0000305,74.50982666,97.56299996,195.7397818,21.40113866,70409.74618
Phil_DC_73_0degC,100.0000305,74.90198517,92.31700323,198.6581382,22.01241274,72420.8379
Phil_DC_74_-4degC,96.07846069,58.82354736,92.39799587,188.2390018,26.20745998,86222.54332
Phil_DC_75_1degC,83.52944183,36.47060013,94.8,185.7873224,19.00124866,109086.1686
Phil_DC_76_-6degC,100.0000305,56.07844925,93.07698283,193.4659875,18.25383572,104795.2709
Phil_DC_77_-1degC,92.54904938,45.88236618,182.6100511,93.18509449,19.61327966,112580.2253
Phil_DC_78_1degC,97.6470871,12.15686703,182.605605,99.56036303,17.74262071,225508.7093
Phil_DC_79_3degC,75.68630219,25.88236046,182.6079972,92.31936079,19.82791234,112701.8537
Phil_DC_80_-4degC,70.19609833,22.35294914,183.1929882,93.31401031,19.22053399,112074.9337
Phil_DC_81_-8degC,100.0000305,48.62746811,95.12667208,200.5707023,19.78722962,111164.656
Phil_DC_82_8degC,71.37257385,28.62746048,183.1426643,96.11736253,19.30531243,108457.2453
Phil_DC_83_1degC,89.41179657,38.82354355,93.2869983,199.250775,21.36737453,120041.9101
Phil_DC_84_2degC,61.17649078,16.86275101,183.146998,89.98805587,19.84151194,111469.6141
Phil_DC_85_3degC,58.82354736,14.90196514,178.3471131,76.55010621,20.22195186,113606.9256
Phil_DC_86_10degC,56.86276245,18.03922081,183.1731005,92.95355572,19.91253114,111848.6874
Phil_DC_87_11degC,79.2157135,69.41178894,178.4001863,189.9582658,6.206734836,36421.12002
Phil_DC_88_10degC,63.1372757,23.13726234,181.3571247,89.84263877,21.29357031,124950.6706
Phil_DC_90_5degC,89.41179657,49.803936,183.1985427,92.7422725,19.06566175,111858.2375
Phil_DC_91_9degC,88.62747955,12.94118023,92.2988445,92.67002995,19.20399548,223496.0994
Phil_DC_92_16degC,85.09806824,21.17647743,173.3369857,92.46862678,16.08630213,220543.2023
Phil_DC_93_10degC,97.6470871,13.33333778,204.9288201,190.0393711,14.68076395,268760.7456
Phil_DC_9_3degC,80.00002289,38.03922653,190.834,78.31745859,23.33912714,93169.79554
